beta,zeta,kappa,nmodes,lambda1,negative_modes,analytic_prefactor,finite_product_prefactor,relative_error,Xi_negative_curvature
5.0,0.0,0.0,50,0.3947841760435743,0,1.0,1.0,0.0,1.0
5.0,0.0,0.0,200,0.3947841760435743,0,1.0,1.0,0.0,1.0
5.0,0.0,0.0,1000,0.3947841760435743,0,1.0,1.0,0.0,1.0
5.0,0.0,0.0,5000,0.3947841760435743,0,1.0,1.0,0.0,1.0
5.0,0.25,-0.024674011002723394,50,0.3701101650408509,0,1.0539073652554058,1.0532554152327684,0.0006186027768004159,1.054786175158099
5.0,0.25,-0.024674011002723394,200,0.3701101650408509,0,1.0539073652554058,1.0537431159837365,0.00015584792087448254,1.054786175158099
5.0,0.25,-0.024674011002723394,1000,0.3701101650408509,0,1.0539073652554058,1.0538744476257955,3.1233892745736905e-05,1.054786175158099
5.0,0.25,-0.024674011002723394,5000,0.3701101650408509,0,1.0539073652554058,1.0539007790136332,6.249355483948477e-06,1.054786175158099
5.0,0.5,-0.09869604401089357,50,0.2960881320326807,0,1.2533141373155001,1.2502157614218863,0.0024721462890782615,1.2732395447351625
5.0,0.5,-0.09869604401089357,200,0.2960881320326807,0,1.2533141373155001,1.2525330137267718,0.0006232464515252242,1.2732395447351625
5.0,0.5,-0.09869604401089357,1000,0.2960881320326807,0,1.2533141373155001,1.253157561129155,0.00012492972167416798,1.2732395447351625
5.0,0.5,-0.09869604401089357,5000,0.2960881320326807,0,1.2533141373155001,1.2532828079866456,2.4997187793340064e-05,1.2732395447351625
5.0,0.75,-0.22206609902451055,50,0.17271807701906375,0,1.8254211030934133,1.8152829886179513,0.0055538497162554035,2.0492481180329167
5.0,0.75,-0.22206609902451055,200,0.17271807701906375,0,1.8254211030934133,1.8228623005873912,0.001401760120821391,2.0492481180329167
5.0,0.75,-0.22206609902451055,1000,0.17271807701906375,0,1.8254211030934133,1.8249080320923183,0.000281069940643024,2.0492481180329167
5.0,0.75,-0.22206609902451055,5000,0.17271807701906375,0,1.8254211030934133,1.8253184363104478,5.624279394577643e-05,2.0492481180329167
5.0,0.9,-0.3197751825952952,50,0.0750089934482791,0,3.0248581200062037,3.000695885018236,0.007987890350347478,4.466065613397663
5.0,0.9,-0.3197751825952952,200,0.0750089934482791,0,3.0248581200062037,3.0187542164903562,0.002017913989246849,4.466065613397663
5.0,0.9,-0.3197751825952952,1000,0.0750089934482791,0,3.0248581200062037,3.0236339124269267,0.0004047157025911952,4.466065613397663
5.0,0.9,-0.3197751825952952,5000,0.0750089934482791,0,3.0248581200062037,3.024613140917791,8.098862118266084e-05,4.466065613397663
5.0,0.97,-0.37145243123939914,50,0.02333174480417516,0,5.690452580134674,5.6376858696726355,0.009272849517496518,13.916999661399865
5.0,0.97,-0.37145243123939914,200,0.02333174480417516,0,5.690452580134674,5.6771162208717625,0.0023436377116064166,13.916999661399865
5.0,0.97,-0.37145243123939914,1000,0.02333174480417516,0,5.690452580134674,5.687777473376609,0.0004701043933490034,13.916999661399865
5.0,0.97,-0.37145243123939914,5000,0.02333174480417516,0,5.690452580134674,5.68991724416867,9.407616678388253e-05,13.916999661399865
5.0,0.99,-0.38692797094030723,50,0.007856205103267067,0,9.950692776012238,9.854595647663832,0.009657330450404795,40.934484917948915
5.0,0.99,-0.38692797094030723,200,0.007856205103267067,0,9.950692776012238,9.926401542570208,0.0024411600266252774,40.934484917948915
5.0,0.99,-0.38692797094030723,1000,0.007856205103267067,0,9.950692776012238,9.945820069013704,0.0004896852016454284,40.934484917948915
5.0,0.99,-0.38692797094030723,5000,0.007856205103267067,0,9.950692776012238,9.949717653909062,9.799539842358042e-05,40.934484917948915
5.0,0.999,-0.3939950024756633,50,0.0007891735679109724,0,31.60698725426149,31.296200242093708,0.009832857831961826,405.6900913272997
5.0,0.999,-0.3939950024756633,200,0.0007891735679109724,0,31.60698725426149,31.528422043310737,0.0024856912276623373,405.6900913272997
5.0,0.999,-0.3939950024756633,1000,0.0007891735679109724,0,31.60698725426149,31.591227163032134,0.0004986268100333365,405.6900913272997
5.0,0.999,-0.3939950024756633,5000,0.0007891735679109724,0,31.60698725426149,31.603833346538153,9.978514237899516e-05,405.6900913272997
5.0,1.001,-0.3955741391798374,50,-0.0007899631362631165,1,nan,nan,nan,nan
5.0,1.001,-0.3955741391798374,200,-0.0007899631362631165,1,nan,nan,nan,nan
5.0,1.001,-0.3955741391798374,1000,-0.0007899631362631165,1,nan,nan,nan,nan
5.0,1.001,-0.3955741391798374,5000,-0.0007899631362631165,1,nan,nan,nan,nan
5.0,1.05,-0.4352495540880407,50,-0.04046537804446643,1,nan,nan,nan,nan
5.0,1.05,-0.4352495540880407,200,-0.04046537804446643,1,nan,nan,nan,nan
5.0,1.05,-0.4352495540880407,1000,-0.04046537804446643,1,nan,nan,nan,nan
5.0,1.05,-0.4352495540880407,5000,-0.04046537804446643,1,nan,nan,nan,nan
