beta,zeta_max,invalid_area_fraction,exact_invalid_probability,invalid_probability_over_area,negative_curvature_area_fraction,exact_negative_curvature_probability,density_min,density_max,density_norm_error
2.65,0.9772355948823983,0.0,0.0,nan,0.77532958984375,0.1110829818414563,0.0018839442242565673,11.432785549707038,0.0
2.7,0.9956740023330097,0.0,0.0,nan,0.77532958984375,0.10816311152271069,0.0016804795985154606,11.53779329948553,0.0
2.711,0.9997304519721442,0.0,0.0,nan,0.77532958984375,0.1075436535503829,0.001639046027821155,11.560321048407063,0.0
2.7117,0.9999885896764527,0.0,0.0,nan,0.77532958984375,0.10750450613496876,0.0016364478195135695,11.561747724336026,0.0
2.712,1.0000992201211565,6.103515625e-05,2.6758216923487874e-07,0.004384066260744253,0.77532958984375,0.10748773860870847,0.0016353356962303643,11.562358904525723,0.0
2.72,1.0030493653132544,0.00189208984375,8.314749237796178e-06,0.0043944790810339545,0.77532958984375,0.10704279594867463,0.00160598532742884,11.578601304009702,2.220446049250313e-16
2.75,1.014112409783621,0.0091552734375,4.057164047661958e-05,0.004431505050459568,0.77532958984375,0.10541129716934075,0.0015010077262143503,11.638561714386016,0.0
2.8,1.0325508172342321,0.0211181640625,9.536137237188212e-05,0.004515609031621146,0.77532958984375,0.1028174751873884,0.0013425862481141347,11.735234561833032,2.220446049250313e-16
3.0,1.1063044470366774,0.11163330078125,0.0006085683136028832,0.005451494395882799,0.77532958984375,0.09384064625186303,0.0008717814489268113,12.083780521213757,0.0
3.3,1.216934891740345,0.263427734375,0.0020835333878078373,0.007909316734440132,0.77532958984375,0.08373724468240745,0.000479018158673067,12.506733460820127,0.0
