P,scenario,n_chains,ensemble_note,p_invalid,p_invalid_chain_sem,p_invalid_chain_boot_ci95_lo,p_invalid_chain_boot_ci95_hi,p_zeta_gt_5,p_zeta_gt_5_chain_sem,p_zeta_gt_5_chain_boot_ci95_lo,p_zeta_gt_5_chain_boot_ci95_hi,zeta_pooled_median,zeta_mean_of_chain_medians,zeta_mean_of_chain_medians_sem,zeta_mean_of_chain_medians_boot_ci95_lo,zeta_mean_of_chain_medians_boot_ci95_hi
64,full,10,same physical full-Hamiltonian ensemble; Hessian-only reclassification,0.8896041666666668,0.0003424877842684541,0.8889360937499999,0.8902104166666666,0.8702833333333334,0.0003109888014647629,0.8697076388888888,0.8708576562500001,17.335376739501953,17.332855033874512,0.019194092248788538,17.298077116012575,17.370055136680605
64,full-no-wall,10,same physical full-Hamiltonian ensemble; Hessian-only reclassification,0.8896048611111113,0.0003425526284248047,0.8889388888888888,0.8902104340277779,0.87065,0.0003178337681616204,0.8700395659722222,0.8712271006944444,17.33539581298828,17.332878875732423,0.019193080834418542,17.298300924301145,17.36873025894165
64,full-no-BLK,10,same physical full-Hamiltonian ensemble; Hessian-only reclassification,0.2622013888888889,0.0018816614064414117,0.25854164930555557,0.2655694618055555,0.002627777777777778,9.156958008671064e-05,0.0024625000000000003,0.0028006944444444446,0.0,0.0,0.0,0.0,0.0
64,BLK-only,10,same physical full-Hamiltonian ensemble; Hessian-only reclassification,0.880079861111111,0.000296392580565256,0.8795361111111111,0.8806340451388889,0.8754611111111112,0.00031598231227953976,0.8748819270833333,0.8760542013888889,17.978248596191406,17.978964233398436,0.018368744859468197,17.945851845741274,18.015205569267273
64,moire-only,10,same physical full-Hamiltonian ensemble; Hessian-only reclassification,0.2623861111111111,0.0018826191788476907,0.2588742534722223,0.2657300868055556,0.0026972222222222215,9.305555555555556e-05,0.0025250000000000003,0.0028701388888888887,0.0,0.0,0.0,0.0,0.0
64,wall-only,10,same physical full-Hamiltonian ensemble; Hessian-only reclassification,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,full,10,same physical full-Hamiltonian ensemble; Hessian-only reclassification,0.9160670138888888,0.00020423112093592762,0.9156871527777778,0.9164441059027778,0.8991906249999999,0.00023590135131511885,0.89875171875,0.8996288194444444,17.310482025146484,17.310343933105468,0.011650374733775776,17.289111294746398,17.331910352706906
128,full-no-wall,10,same physical full-Hamiltonian ensemble; Hessian-only reclassification,0.9160670138888888,0.00020423112093592762,0.9156909722222222,0.9164496527777777,0.8995649305555556,0.0002409921508196618,0.899123611111111,0.9000184201388889,17.310510635375977,17.31037483215332,0.011650449113152982,17.289652214050292,17.332135210037233
128,full-no-BLK,10,same physical full-Hamiltonian ensemble; Hessian-only reclassification,0.2727590277777778,0.001750679400991189,0.2695041493055556,0.2759094357638889,0.002821180555555556,0.00010107454070454696,0.002634019097222222,0.003008012152777778,0.0,0.0,0.0,0.0,0.0
128,BLK-only,10,same physical full-Hamiltonian ensemble; Hessian-only reclassification,0.9091100694444446,0.0002547243352918674,0.9086551736111113,0.9095927083333335,0.9045156249999999,0.00021582731160268423,0.9041235850694443,0.9049170138888888,17.953353881835938,17.95262451171875,0.012218007537840508,17.93038707256317,17.975328826904295
128,moire-only,10,same physical full-Hamiltonian ensemble; Hessian-only reclassification,0.272928125,0.0017533845970343898,0.269588125,0.2761094184027778,0.0028920138888888893,0.00010406045253632366,0.0026954774305555556,0.003079861111111111,0.0,0.0,0.0,0.0,0.0
128,wall-only,10,same physical full-Hamiltonian ensemble; Hessian-only reclassification,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,full,10,same physical full-Hamiltonian ensemble; Hessian-only reclassification,0.9248524305555555,0.00039411141337912894,0.9240394053819444,0.9254625217013888,0.908770659722222,0.0002209951851875328,0.9083590277777779,0.9091704904513888,17.31800079345703,17.318186569213868,0.017024952976311444,17.289952850341795,17.35231309890747
256,full-no-wall,10,same physical full-Hamiltonian ensemble; Hessian-only reclassification,0.9248536458333332,0.000394137419259891,0.9240141796875,0.9254703211805556,0.909152951388889,0.0002215802676044111,0.9087406206597223,0.9095567751736112,17.31802749633789,17.318212890625,0.01702441441153308,17.289486236572266,17.352281284332275
256,full-no-BLK,10,same physical full-Hamiltonian ensemble; Hessian-only reclassification,0.2785470486111111,0.0031008509912932355,0.2722483984375,0.28349358940972225,0.002957638888888889,9.259592007909919e-05,0.0027583289930555553,0.0031022569444444444,0.0,0.0,0.0,0.0,0.0
256,BLK-only,10,same physical full-Hamiltonian ensemble; Hessian-only reclassification,0.9184951388888887,0.0002640470712552571,0.9179485937499999,0.9189376822916667,0.9139715277777778,0.0002665278571899403,0.9134489539930556,0.9144376866319444,17.9610595703125,17.961300086975097,0.017261627352441633,17.932540049552916,17.996752576828005
256,moire-only,10,same physical full-Hamiltonian ensemble; Hessian-only reclassification,0.2787157986111112,0.0031001285425217386,0.272255859375,0.28362456597222224,0.0030442708333333333,9.308579942580438e-05,0.0028529470486111106,0.0031871527777777775,0.0,0.0,0.0,0.0,0.0
256,wall-only,10,same physical full-Hamiltonian ensemble; Hessian-only reclassification,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
