benchmark,N,grid_lambda_min,grid_s,grid_t,negative_eigenvalue_area_fraction
triangular,128,-1.5,0.5,0.0,0.76690673828125
triangular,256,-1.5,0.5,0.0,0.7665863037109375
triangular,512,-1.5,0.5,0.0,0.7663688659667969
triangular,1024,-1.5,0.5,0.0,0.7663030624389648
triangular,2048,-1.5,0.5,0.0,0.7662966251373291
asymmetric,128,-1.3421669865794854,0.5,0.4609375,0.77532958984375
asymmetric,256,-1.3421669865794854,0.5,0.4609375,0.77557373046875
asymmetric,512,-1.3421924230833038,0.5,0.462890625,0.7755317687988281
asymmetric,1024,-1.3421946791146617,0.4990234375,0.462890625,0.7755327224731445
asymmetric,2048,-1.34219847976055,0.49951171875,0.46240234375,0.7755148410797119
