seed,block,start_sweep_inclusive,end_sweep_exclusive,n_saved_samples,energy_mean
132001,1,32000,48000,3200,0.6303266085852407
132001,2,48000,64000,3200,0.663813111500793
132001,3,64000,80000,3200,0.6473599706929687
132001,4,80000,96000,3200,0.6511056848988568
132001,5,96000,112000,3200,0.6317536230719782
132001,6,112000,128000,3200,0.6558310627389546
132001,7,128000,144000,3200,0.6490317845153324
132001,8,144000,160000,3200,0.7306996339668271
132002,1,32000,48000,3200,0.6862726911373835
132002,2,48000,64000,3200,0.6270062626707187
132002,3,64000,80000,3200,0.6280711950128243
132002,4,80000,96000,3200,0.6176405270085757
132002,5,96000,112000,3200,0.6527297604179279
132002,6,112000,128000,3200,0.6191280294483289
132002,7,128000,144000,3200,0.6280648755628375
132002,8,144000,160000,3200,0.6855610344184765
132003,1,32000,48000,3200,0.6571024548275498
132003,2,48000,64000,3200,0.5779790542590828
132003,3,64000,80000,3200,0.6654571885321269
132003,4,80000,96000,3200,0.6205870994591624
132003,5,96000,112000,3200,0.7549982945550175
132003,6,112000,128000,3200,0.6933406397142852
132003,7,128000,144000,3200,0.677359201810529
132003,8,144000,160000,3200,0.6576311107309354
132004,1,32000,48000,3200,0.6429525590187127
132004,2,48000,64000,3200,0.6592946210419983
132004,3,64000,80000,3200,0.6134570297158245
132004,4,80000,96000,3200,0.5751158431218774
132004,5,96000,112000,3200,0.6738484965035496
132004,6,112000,128000,3200,0.6445397406962735
132004,7,128000,144000,3200,0.6353437614262395
132004,8,144000,160000,3200,0.6990628855969158
132005,1,32000,48000,3200,0.6905912195890377
132005,2,48000,64000,3200,0.6266221762595344
132005,3,64000,80000,3200,0.5849835219390129
132005,4,80000,96000,3200,0.636208208882338
132005,5,96000,112000,3200,0.6246471754619708
132005,6,112000,128000,3200,0.6754559081261442
132005,7,128000,144000,3200,0.6835795515955664
132005,8,144000,160000,3200,0.6331202857483292
132006,1,32000,48000,3200,0.6720355649947445
132006,2,48000,64000,3200,0.656770258437704
132006,3,64000,80000,3200,0.6548896538906643
132006,4,80000,96000,3200,0.6245538849599815
132006,5,96000,112000,3200,0.6726509005949204
132006,6,112000,128000,3200,0.6487060367389
132006,7,128000,144000,3200,0.6551395519929502
132006,8,144000,160000,3200,0.5882030186369621
132007,1,32000,48000,3200,0.7413712989141894
132007,2,48000,64000,3200,0.6638092800758915
132007,3,64000,80000,3200,0.6286920020318439
132007,4,80000,96000,3200,0.6912948178241285
132007,5,96000,112000,3200,0.6852568034134342
132007,6,112000,128000,3200,0.6147983515557468
132007,7,128000,144000,3200,0.6927727173887506
132007,8,144000,160000,3200,0.6548516389570742
132008,1,32000,48000,3200,0.7264343591683826
132008,2,48000,64000,3200,0.7163799932928963
132008,3,64000,80000,3200,0.6358797185049169
132008,4,80000,96000,3200,0.6537826843875751
132008,5,96000,112000,3200,0.6541458240768802
132008,6,112000,128000,3200,0.6667059092046241
132008,7,128000,144000,3200,0.7124385248761905
132008,8,144000,160000,3200,0.6983259243409631
132009,1,32000,48000,3200,0.660656195103723
132009,2,48000,64000,3200,0.6143687357095875
132009,3,64000,80000,3200,0.6173218811897047
132009,4,80000,96000,3200,0.6855344462833253
132009,5,96000,112000,3200,0.6057968246698792
132009,6,112000,128000,3200,0.6896150602108855
132009,7,128000,144000,3200,0.6820495298915736
132009,8,144000,160000,3200,0.7220759769977277
132010,1,32000,48000,3200,0.6423778474153119
132010,2,48000,64000,3200,0.6659493007629719
132010,3,64000,80000,3200,0.6828380769674208
132010,4,80000,96000,3200,0.6743614278171723
132010,5,96000,112000,3200,0.6374355198994134
132010,6,112000,128000,3200,0.6834799330238347
132010,7,128000,144000,3200,0.6428631951738082
132010,8,144000,160000,3200,0.725799348909732
132011,1,32000,48000,3200,0.7211025023469201
132011,2,48000,64000,3200,0.6230154820222817
132011,3,64000,80000,3200,0.6634348109308114
132011,4,80000,96000,3200,0.6298075723563593
132011,5,96000,112000,3200,0.621190190014324
132011,6,112000,128000,3200,0.662497850983774
132011,7,128000,144000,3200,0.6140183421958691
132011,8,144000,160000,3200,0.6796957386060895
