seed,start_class,burn_in,n_frames,n_paired_beads,p_inv,p_inv_no_wall_hessian,zeta50,zeta95,zeta_max,p_zeta_ge_5,rho_median_nm,rho_mean_nm,rho_p95_nm,rho_p99_nm,rho_max_nm,p_rho_gt_15nm,p_rho_gt_18p7nm,p_rho_gt_20nm,p_rho_gt_30nm
930300,compact,15000,11250,2880000,0.9256690972222222,0.9256690972222222,17.28129768371582,26.24633026123047,27.292123794555664,0.9094684027777777,1.642957091331482,1.8336926698684692,3.9165146350860596,5.157100200653076,11.884666442871094,0.0,0.0,0.0,0.0
930300,compact,30000,10500,2688000,0.9257087053571429,0.9257087053571429,17.277692794799805,26.246274948120117,27.292123794555664,0.909453869047619,1.6431058645248413,1.833993911743164,3.917729616165161,5.155925273895264,11.884666442871094,0.0,0.0,0.0,0.0
930300,compact,60000,9000,2304000,0.925875,0.925875,17.275344848632812,26.24657440185547,27.292123794555664,0.9095316840277777,1.6435130834579468,1.8346606492996216,3.9204654693603516,5.1571149826049805,11.884666442871094,0.0,0.0,0.0,0.0
930301,compact,15000,11250,2880000,0.9257215277777778,0.9257215277777778,17.23650360107422,26.244110107421875,27.28078269958496,0.9096496527777778,1.647889256477356,1.8397088050842285,3.9275357723236084,5.165453910827637,11.203306198120117,0.0,0.0,0.0,0.0
930301,compact,30000,10500,2688000,0.9258947172619048,0.9258947172619048,17.223711013793945,26.24357795715332,27.28078269958496,0.9097719494047619,1.649441123008728,1.8416545391082764,3.9320478439331055,5.168787479400635,11.203306198120117,0.0,0.0,0.0,0.0
930301,compact,60000,9000,2304000,0.9257907986111111,0.9257907986111111,17.237178802490234,26.244178771972656,27.273151397705078,0.9097391493055556,1.6482927799224854,1.8404111862182617,3.9302151203155518,5.160634994506836,11.135685920715332,0.0,0.0,0.0,0.0
930302,dissociated,15000,11250,2880000,0.9262135416666667,0.9262135416666667,17.26399803161621,26.24628257751465,27.35025405883789,0.9097711805555555,1.6462302207946777,1.838018774986267,3.9256069660186768,5.164187908172607,10.608820915222168,0.0,0.0,0.0,0.0
930302,dissociated,30000,10500,2688000,0.9261715029761904,0.9261715029761904,17.272253036499023,26.246593475341797,27.347576141357422,0.9097764136904762,1.645226001739502,1.8370803594589233,3.924131155014038,5.162570953369141,10.548140525817871,0.0,0.0,0.0,0.0
930302,dissociated,60000,9000,2304000,0.9260386284722222,0.9260386284722222,17.278188705444336,26.247129440307617,27.347576141357422,0.9095967881944444,1.644066572189331,1.8363598585128784,3.9255778789520264,5.16384744644165,10.548140525817871,0.0,0.0,0.0,0.0
930303,dissociated,15000,11250,2880000,0.9245465277777778,0.9245465277777778,17.29656982421875,26.246097564697266,27.234344482421875,0.9085475694444445,1.6384613513946533,1.8299838304519653,3.9134018421173096,5.157891273498535,11.528346061706543,0.0,0.0,0.0,0.0
930303,dissociated,30000,10500,2688000,0.9244508928571429,0.9244508928571429,17.305309295654297,26.246492385864258,27.228979110717773,0.9085416666666667,1.6373549699783325,1.8285751342773438,3.910074472427368,5.152981281280518,11.528346061706543,0.0,0.0,0.0,0.0
930303,dissociated,60000,9000,2304000,0.9242395833333333,0.9242395833333333,17.314186096191406,26.246931076049805,27.228572845458984,0.9083606770833333,1.635087013244629,1.8264214992523193,3.9055094718933105,5.146814823150635,11.281982421875,0.0,0.0,0.0,0.0
