seed,start_class,block,n_blocks,n_frames,n_paired_beads,p_inv,p_inv_no_wall_hessian,zeta50,zeta95,zeta_max,p_zeta_ge_5,rho_median_nm,rho_mean_nm,rho_p95_nm,rho_p99_nm,rho_max_nm,p_rho_gt_15nm,p_rho_gt_18p7nm,p_rho_gt_20nm,p_rho_gt_30nm
930300,compact,1,8,1125,288000,0.9250729166666667,0.9250729166666667,17.345550537109375,26.25027847290039,27.24498176574707,0.9093020833333333,1.6345878839492798,1.8192888498306274,3.867446184158325,5.054080009460449,11.884666442871094,0.0,0.0,0.0,0.0
930300,compact,2,8,1125,288000,0.9266145833333334,0.9266145833333334,17.335121154785156,26.248998641967773,27.263992309570312,0.9089791666666667,1.6375991106033325,1.8314987421035767,3.922408103942871,5.21160364151001,10.086591720581055,0.0,0.0,0.0,0.0
930300,compact,3,8,1125,288000,0.9262465277777778,0.9262465277777778,17.262876510620117,26.248096466064453,27.19558334350586,0.9101215277777778,1.6450073719024658,1.8322265148162842,3.904735565185547,5.101230621337891,9.402044296264648,0.0,0.0,0.0,0.0
930300,compact,4,8,1125,288000,0.9253194444444445,0.9253194444444445,17.30965805053711,26.244638442993164,27.25298500061035,0.9095069444444445,1.6408880949020386,1.8269726037979126,3.8951990604400635,5.116227149963379,9.473405838012695,0.0,0.0,0.0,0.0
930300,compact,5,8,1125,288000,0.9258680555555555,0.9258680555555555,17.170509338378906,26.239070892333984,27.292123794555664,0.9093333333333333,1.6538076400756836,1.8475855588912964,3.961498498916626,5.18950891494751,10.999689102172852,0.0,0.0,0.0,0.0
930300,compact,6,8,1125,288000,0.9265173611111112,0.9265173611111112,17.209148406982422,26.246366500854492,27.238195419311523,0.9100798611111112,1.656174659729004,1.8514926433563232,3.9576189517974854,5.260355472564697,9.45930004119873,0.0,0.0,0.0,0.0
930300,compact,7,8,1125,288000,0.92665625,0.92665625,17.281848907470703,26.248062133789062,27.255855560302734,0.9094722222222222,1.6419265270233154,1.8366236686706543,3.9366390705108643,5.151180267333984,10.372405052185059,0.0,0.0,0.0,0.0
930300,compact,8,8,1125,288000,0.9247048611111112,0.9247048611111112,17.286977767944336,26.247690200805664,27.251039505004883,0.9094583333333334,1.638659954071045,1.8315967321395874,3.9202017784118652,5.166954517364502,11.600204467773438,0.0,0.0,0.0,0.0
930301,compact,1,8,1125,288000,0.9273020833333333,0.9273020833333333,17.197574615478516,26.238265991210938,27.215984344482422,0.9114444444444444,1.6574478149414062,1.8464252948760986,3.92425274848938,5.137139797210693,10.88365650177002,0.0,0.0,0.0,0.0
930301,compact,2,8,1125,288000,0.9260243055555556,0.9260243055555556,17.144527435302734,26.243192672729492,27.202112197875977,0.9102118055555556,1.6598920822143555,1.8543213605880737,3.9646379947662354,5.231903553009033,9.295348167419434,0.0,0.0,0.0,0.0
930301,compact,3,8,1125,288000,0.9267916666666667,0.9267916666666667,17.246883392333984,26.24669647216797,27.22402572631836,0.9105520833333334,1.651005506515503,1.842934012413025,3.940717935562134,5.1668548583984375,10.011983871459961,0.0,0.0,0.0,0.0
930301,compact,4,8,1125,288000,0.9245486111111111,0.9245486111111111,17.270050048828125,26.245580673217773,27.239341735839844,0.9087743055555556,1.6406704187393188,1.8351632356643677,3.929501533508301,5.197486400604248,9.470726013183594,0.0,0.0,0.0,0.0
930301,compact,5,8,1125,288000,0.9255833333333333,0.9255833333333333,17.23504638671875,26.246763229370117,27.186540603637695,0.9089791666666667,1.6461787223815918,1.83698308467865,3.9226181507110596,5.11981725692749,9.73112678527832,0.0,0.0,0.0,0.0
930301,compact,6,8,1125,288000,0.9253506944444444,0.9253506944444444,17.169517517089844,26.242290496826172,27.15689468383789,0.9089305555555556,1.6572871208190918,1.849524736404419,3.9549360275268555,5.225886821746826,11.135685920715332,0.0,0.0,0.0,0.0
930301,compact,7,8,1125,288000,0.9253541666666667,0.9253541666666667,17.298534393310547,26.243539810180664,27.17180824279785,0.9095555555555556,1.639216661453247,1.8329733610153198,3.9128758907318115,5.121670246124268,9.460810661315918,0.0,0.0,0.0,0.0
930301,compact,8,8,1125,288000,0.9253715277777778,0.9253715277777778,17.335979461669922,26.247404098510742,27.273151397705078,0.9094652777777777,1.63445246219635,1.824965476989746,3.88889479637146,5.089544296264648,10.42105484008789,0.0,0.0,0.0,0.0
930302,dissociated,1,8,1125,288000,0.923375,0.923375,17.360427856445312,26.2489013671875,27.19894027709961,0.9080972222222222,1.6295673847198486,1.8174599409103394,3.8784704208374023,5.103525638580322,10.548140525817871,0.0,0.0,0.0,0.0
930302,dissociated,2,8,1125,288000,0.9234097222222222,0.9234097222222222,17.40555763244629,26.2479305267334,27.24581527709961,0.9088298611111111,1.6281709671020508,1.8117985725402832,3.8631956577301025,5.048395156860352,8.927630424499512,0.0,0.0,0.0,0.0
930302,dissociated,3,8,1125,288000,0.9286666666666666,0.9286666666666666,17.192045211791992,26.245506286621094,27.305496215820312,0.9110208333333333,1.6560235023498535,1.854811668395996,3.9677608013153076,5.203299522399902,9.097862243652344,0.0,0.0,0.0,0.0
930302,dissociated,4,8,1125,288000,0.92659375,0.92659375,17.276901245117188,26.249515533447266,27.315753936767578,0.9095034722222223,1.6442477703094482,1.8357473611831665,3.9242637157440186,5.171737194061279,10.355433464050293,0.0,0.0,0.0,0.0
930302,dissociated,5,8,1125,288000,0.9272881944444444,0.9272881944444444,17.231983184814453,26.24647331237793,27.347576141357422,0.9096597222222222,1.6501269340515137,1.845358967781067,3.943662166595459,5.210960865020752,9.491110801696777,0.0,0.0,0.0,0.0
930302,dissociated,6,8,1125,288000,0.9262118055555556,0.9262118055555556,17.322551727294922,26.249147415161133,27.281335830688477,0.9103506944444445,1.643235683441162,1.8358370065689087,3.9243526458740234,5.154994964599609,9.76972484588623,0.0,0.0,0.0,0.0
930302,dissociated,7,8,1125,288000,0.9253402777777778,0.9253402777777778,17.233095169067383,26.246294021606445,27.193195343017578,0.9088645833333333,1.6453272104263306,1.8354566097259521,3.9237375259399414,5.159335136413574,9.283940315246582,0.0,0.0,0.0,0.0
930302,dissociated,8,8,1125,288000,0.9274236111111112,0.9274236111111112,17.191917419433594,26.242521286010742,27.237642288208008,0.9104479166666667,1.657442569732666,1.8544083833694458,3.9717254638671875,5.241444110870361,9.798430442810059,0.0,0.0,0.0,0.0
930303,dissociated,1,8,1125,288000,0.9261493055555555,0.9261493055555555,17.227222442626953,26.241743087768555,27.22832489013672,0.9100034722222222,1.6492204666137695,1.8370885848999023,3.904534101486206,5.13605260848999,9.803377151489258,0.0,0.0,0.0,0.0
