beta,zeta_max,V_exact_BZ,V_finiteP64,P64_Trotter_bias_pct,V_SPLH,SPLH_energy_error_pct,SPLH_density_L1_bin16_vs_exact_BZ,BZ_density_basis_L1_K64_to_K81_at_Nk12,BZ_density_kgrid_L1_Nk12_to_Nk16_at_K81,P64_basis_delta_K64_to_K81,P64_kgrid_delta_N8_to_N12_at_K81,SPLH_bin16_L1_256_to_512,exact_bin_imag_residual
0.5,0.19492420030841903,2.152490622179183,2.1524812886649216,-0.000433614630624015,2.1337902456553755,-0.8687785364135687,0.011955128775931405,4.5349172022151056e-07,2.7927697047319677e-11,6.030581527483037e-07,9.560219282889193e-11,1.5713856513409124e-05,4.996003610813204e-16
0.8,0.31187872049347043,1.6704922928005639,1.6704693691098518,-0.0013722715639782684,1.631121194908368,-2.356856003579082,0.025606418276341386,9.1380644432596e-09,4.569721811782494e-13,1.487534984079275e-09,9.126033262418787e-14,2.8255571972803464e-05,8.326672684688674e-16
1.0,0.38984840061683806,1.411586796382038,1.4115533282434283,-0.0023709586043835695,1.3636328660534938,-3.3971648397004324,0.031964223337587916,3.407009404078078e-09,1.6487441430569974e-13,6.128320073628402e-11,2.220446049250313e-15,3.682556331586741e-05,6.661338147750939e-16
1.3,0.5068029208018895,1.1274203559489897,1.1273700368928332,-0.004463202734974451,1.079707489478527,-4.232038761647254,0.03299694943561096,1.8496778021861787e-09,8.790771862071493e-14,1.8127721546079556e-12,2.6645352591003757e-15,4.825036537649472e-05,1.1102230246251565e-15
1.6,0.6237574409869409,0.9451027194261448,0.9450338069627494,-0.007291531594703509,0.911668237293026,-3.537655901934104,0.022987751004749507,1.5044475492987934e-09,7.012592970098404e-14,1.8141044222375058e-13,8.881784197001252e-16,5.621350784684968e-05,1.9984014443252818e-15
1.9,0.7407119611719922,0.8310438321937627,0.8309534099745767,-0.010880559566509856,0.8237416481172815,-0.878676165275799,0.008042241270500511,1.4153968989624696e-09,6.54185051331027e-14,4.1300296516055823e-14,4.440892098500626e-16,6.1313383783752e-05,1.1102230246251565e-15
2.1,0.8186816412953599,0.7796399709892019,0.779533135878206,-0.013703134135315227,0.7979606776041498,2.3498931938677674,0.026623610226092016,1.4061399523369642e-09,6.53233693570824e-14,2.0872192862952943e-14,1.6653345369377348e-15,6.318952891862532e-05,1.3322676295501878e-15
2.25,0.8771589013878855,0.7500314773916825,0.7499111277898174,-0.01604594013563561,0.7947737002729763,5.965379351396003,0.049481233725953644,1.411430568540012e-09,6.55813493347947e-14,1.3100631690576847e-14,6.661338147750939e-16,6.356977446632107e-05,1.5543122344752192e-15
2.35,0.9161437414495693,0.7336018021335919,0.7334718465726797,-0.017714727599607107,0.8019279158087331,9.3137875992702,0.06999158247372844,1.41529715179763e-09,6.544770542928898e-14,1.0547118733938987e-14,9.992007221626409e-16,6.329149768310835e-05,2.1094237467877974e-15
2.42,0.943433129492748,0.7234217743426715,0.7232848058150566,-0.018933426180142023,0.8131922982038453,12.409154250677993,0.08801659517901725,1.4187999868469648e-09,6.624983054256443e-14,9.2148511043888e-15,1.3322676295501878e-15,6.279879797974442e-05,1.27675647831893e-15
2.48,0.9668240335297583,0.7154607213677637,0.7153175508027584,-0.020010960872204896,0.8293987190374686,15.925122689039709,0.10727858275857255,1.4234895566644142e-09,6.646953993059344e-14,7.993605777301127e-15,1.1102230246251565e-16,6.21998591053076e-05,1.7208456881689926e-15
2.5,0.9746210015420952,0.7129518184471617,0.7128065412059081,-0.020376866639988476,0.8369756041526399,17.395815887756218,0.11504133609978169,1.4250513320897764e-09,6.617475155382306e-14,7.882583474838611e-15,7.771561172376096e-16,6.196463681261565e-05,1.887379141862766e-15
2.54,0.9902149375667686,0.7081378687352284,0.707988318986033,-0.021118733483825012,0.8586296470976753,21.25176254607498,0.1341622490395714,1.4280562115093904e-09,6.664286282981549e-14,7.66053886991358e-15,1.1102230246251565e-16,6.156406455758257e-05,1.5543122344752192e-15
