beta,density_L1_K64_vs_K81_at_Nk12,density_L1_Nk12_vs_Nk16_at_K81,density_L1_Gamma_vs_BZ,V_matrix_BZ,V_density_BZ,V_matrix_density_mismatch,Pmin_BZ,Psaddle_BZ,Pmax_BZ,density_norm_error,density_min,symmetry_L1_max,symmetry_Linf_max,fourier_imaginary_residual
0.5,4.5349172022151056e-07,2.7927697047319677e-11,6.384864437465197e-09,2.152490622179183,2.152490622179182,8.881784197001252e-16,3.4414063714736542,0.5050373177750421,0.39725570552737366,0.0,0.3975725646067769,3.0510463708451063e-09,2.3565875473252618e-08,2.364081081738852e-16
0.8,9.1380644432596e-09,4.569721811782494e-13,9.524882413418064e-11,1.6704922928005639,1.6704922928005643,4.440892098500626e-16,5.621461208837614,0.28084166686128503,0.1928837153383507,0.0,0.19312978998678143,6.02199634017371e-11,1.2926832937409927e-09,4.825289114270313e-16
1.0,3.407009404078078e-09,1.6487441430569974e-13,3.78948725257035e-11,1.411586796382038,1.4115867963820354,2.6645352591003757e-15,7.140566739843314,0.1790091137783473,0.11260744724855562,1.1102230246251565e-16,0.11278813323693382,2.1913835715925856e-11,5.433573591062668e-10,5.377642370084372e-16
1.3,1.8496778021861787e-09,8.790771862071493e-14,3.328344136191826e-09,1.1274203559489897,1.1274203559489946,4.884981308350689e-15,9.249841155977261,0.08592735941370468,0.04749557750969897,0.0,0.047596608995620016,1.1834282540062373e-11,2.9886138008805574e-10,7.832401468696277e-16
1.6,1.5044475492987934e-09,7.012592970098404e-14,1.0971798840063347e-07,0.9451027194261448,0.9451027194261388,5.995204332975845e-15,11.003296273339732,0.039793010235825446,0.01933614467707747,1.1102230246251565e-16,0.019388494633341347,9.618450948431783e-12,2.454001446494658e-10,1.0481188619595916e-15
1.9,1.4153968989624696e-09,6.54185051331027e-14,1.0361448776158897e-06,0.8310438321937627,0.8310438321937623,3.3306690738754696e-16,12.376013834830342,0.01833506673624284,0.007808404502457858,2.220446049250313e-16,0.00783479700036799,9.187765051566767e-12,2.2787993714246113e-10,1.1377545191027263e-15
2.1,1.4061399523369642e-09,6.53233693570824e-14,3.028479104150912e-06,0.7796399709892019,0.7796399709892032,1.3322676295501878e-15,13.102840841377352,0.011038832314104581,0.004288453997944253,0.0,0.0043051985298251045,9.186104247385548e-12,2.2361490437106113e-10,1.3441370270717049e-15
2.25,1.411430568540012e-09,6.55813493347947e-14,5.789773167368522e-06,0.7500314773916825,0.7500314773916781,4.440892098500626e-15,13.56311065185383,0.007615169574792905,0.002752518787077029,0.0,0.002764499048315717,9.224696571945935e-12,2.2235546737192635e-10,1.1232758666647836e-15
2.35,1.41529715179763e-09,6.544770542928898e-14,8.402253151938565e-06,0.7336018021335919,0.7336018021335935,1.5543122344752192e-15,13.83423994996607,0.005980070214538929,0.0020560023612116013,2.220446049250313e-16,0.0020656309345757013,9.271898930510988e-12,2.220055250745645e-10,1.6827720288150208e-15
2.42,1.4187999868469648e-09,6.624983054256443e-14,1.0642930325598396e-05,0.7234217743426715,0.7234217743426729,1.3322676295501878e-15,14.008543698387644,0.0050655735811411945,0.0016798308203081437,0.0,0.0016881162961804085,9.32012617353123e-12,2.219753270082947e-10,1.1447515777074827e-15
2.48,1.4234895566644142e-09,6.646953993059344e-14,1.2848859918268394e-05,0.7154607213677637,0.7154607213677673,3.552713678800501e-15,14.148474242806744,0.004404163133531543,0.0014148967984001204,0.0,0.0014221959416265662,9.366348538375595e-12,2.220179595724403e-10,1.485920667333003e-15
2.5,1.4250513320897764e-09,6.617475155382306e-14,1.3643856994102292e-05,0.7129518184471617,0.7129518184471605,1.2212453270876722e-15,14.193261939831348,0.004205614231397633,0.001336676915352056,1.1102230246251565e-16,0.0013436772113291356,9.381305665222107e-12,2.220499339955495e-10,1.1235319285968545e-15
2.54,1.4280562115093904e-09,6.664286282981549e-14,1.5324252132067087e-05,0.7081378687352284,0.7081378687352292,7.771561172376096e-16,14.280155079544988,0.003838031124132713,0.001193613612431624,2.220446049250313e-16,0.0012000569382718325,9.409809655962403e-12,2.2212454098280432e-10,1.5003525661992914e-15
