beta,zeta_max,V_SPLH,L1_SPLH_bin16_vs_exact_BZ,SPLH_bin16_L1_256_vs_512,exact_bin_imag_residual
0.5,0.19492420030841903,2.1337902456553755,0.011955128775931405,1.5713856513409124e-05,4.996003610813204e-16
0.8,0.31187872049347043,1.631121194908368,0.025606418276341386,2.8255571972803464e-05,8.326672684688674e-16
1.0,0.38984840061683806,1.3636328660534938,0.031964223337587916,3.682556331586741e-05,6.661338147750939e-16
1.3,0.5068029208018895,1.079707489478527,0.03299694943561096,4.825036537649472e-05,1.1102230246251565e-15
1.6,0.6237574409869409,0.911668237293026,0.022987751004749507,5.621350784684968e-05,1.9984014443252818e-15
1.9,0.7407119611719922,0.8237416481172815,0.008042241270500511,6.1313383783752e-05,1.1102230246251565e-15
2.1,0.8186816412953599,0.7979606776041498,0.026623610226092016,6.318952891862532e-05,1.3322676295501878e-15
2.25,0.8771589013878855,0.7947737002729763,0.049481233725953644,6.356977446632107e-05,1.5543122344752192e-15
2.35,0.9161437414495693,0.8019279158087331,0.06999158247372844,6.329149768310835e-05,2.1094237467877974e-15
2.42,0.943433129492748,0.8131922982038453,0.08801659517901725,6.279879797974442e-05,1.27675647831893e-15
2.48,0.9668240335297583,0.8293987190374686,0.10727858275857255,6.21998591053076e-05,1.7208456881689926e-15
2.5,0.9746210015420952,0.8369756041526399,0.11504133609978169,6.196463681261565e-05,1.887379141862766e-15
2.54,0.9902149375667686,0.8586296470976753,0.1341622490395714,6.156406455758257e-05,1.5543122344752192e-15
