kind,filename,sha256,git_status,planned_archive,note
raw_chain,P256_seed912560_240k.npz,ac989161fe847168d9d69cd3822ff72708a7266dd8e35df3dd0bfc9a4c34295a,omitted,Zenodo,primary raw trajectory
raw_chain,P256_seed912561_240k.npz,11f3dfb5090dfb4296a8ec822cab8889f5ba71536272493b1cc9c24f9a2d6b71,omitted,Zenodo,primary raw trajectory
raw_chain,P256_seed912562_240k.npz,86a3b9b119fb292dc88108b6a05a42406b609b5f3daf2a1da3c2bf8471ed90d3,omitted,Zenodo,primary raw trajectory
raw_chain,P256_seed912563_240k.npz,f92e01122595bce396c0a2d4742bfe98e4a624e63dd42a3227b4e36c8b834287,omitted,Zenodo,primary raw trajectory
derived_cache,P256_seed912560_observables.npz,65986a0825bc6855cc24b66adf435c4b2f580b67de23409a6a8802dcdbc7c695,omitted,Zenodo,derived convenience cache; reconstructable from raw chain
derived_cache,P256_seed912561_observables.npz,69a68165f594bc499839d2445bd194a42b9f217254d9b54e06551b43d9474067,omitted,Zenodo,derived convenience cache; reconstructable from raw chain
derived_cache,P256_seed912562_observables.npz,f002e9b641325a227849ebb91f4e703e4d8329f1adb8648b962e643a298f4f83,omitted,Zenodo,derived convenience cache; reconstructable from raw chain
derived_cache,P256_seed912563_observables.npz,8d56c832e9f971453450bd29cf09fd53186a0b24d0cb085ede4c93fd49e41b91,omitted,Zenodo,derived convenience cache; reconstructable from raw chain
raw_chain,R30_P256_seed930300_240k.npz,36b7855dd90e3fb73cb67569aadccd77bdfc47d5fd80373d1a5ab9968be2dbc8,omitted,Zenodo,primary R30 raw trajectory
raw_chain,R30_P256_seed930301_240k.npz,43ad73b08d1f216ec6118aca0bfb13686f4dbc049d91fb6c57ee8b99296c77b9,omitted,Zenodo,primary R30 raw trajectory
raw_chain,R30_P256_seed930302_240k.npz,dd5c1a67077a9be502ad6f753183c1d91f727e889f2c0a25348244e6964696c7,omitted,Zenodo,primary R30 raw trajectory
raw_chain,R30_P256_seed930303_240k.npz,5ca59d65cca7b1ffa4bbe06017928c01d67e84de0c04b62d61843cf581c5655d,omitted,Zenodo,primary R30 raw trajectory
derived_cache,R30_P256_seed930300_observables.npz,d784e113c06fbd4d7a8b130c71307f0118e00c7ee59f5bcaa4698348c5cb576a,omitted,Zenodo,derived R30 convenience cache; reconstructable from raw chain
derived_cache,R30_P256_seed930301_observables.npz,e366e235af32b6a268feb9c318f036991332822652a4c46e15f4721706780527,omitted,Zenodo,derived R30 convenience cache; reconstructable from raw chain
derived_cache,R30_P256_seed930302_observables.npz,a83f32dd67bf68db3474bfa3a1e345c9d44a8d5c300f9b5e22e35208b8289d12,omitted,Zenodo,derived R30 convenience cache; reconstructable from raw chain
derived_cache,R30_P256_seed930303_observables.npz,496e8b552d8b443f4fd9434777daa59d60820d23dbb2b7f11d2a400a24587546,omitted,Zenodo,derived R30 convenience cache; reconstructable from raw chain
